TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.4860000E+05,  0.1800000E+04,        14,         1,         1,  0.3969251E+01,  0.3730072E+01,  0.3701607E+01,  0.3678414E+01,  0.3655646E+01,  0.3639577E+01,  0.3628262E+01,  0.3622074E+01,  0.3701785E+01,  0.3672853E+01,  0.3645672E+01,  0.3629691E+01,  0.3622030E+01,  0.3618459E+01,  0.2644396E+01,  0.2583076E+01,  0.2544087E+01,  0.2519171E+01,
  0.5040000E+05,  0.1800000E+04,        14,         2,         1,  0.3970392E+01,  0.3753576E+01,  0.3728394E+01,  0.3707683E+01,  0.3686628E+01,  0.3671011E+01,  0.3659483E+01,  0.3652848E+01,  0.3728542E+01,  0.3702370E+01,  0.3676738E+01,  0.3660837E+01,  0.3652796E+01,  0.3648887E+01,  0.2709813E+01,  0.2643743E+01,  0.2599533E+01,  0.2569911E+01,
  0.5220000E+05,  0.1800000E+04,        15,         1,         1,  0.3936145E+01,  0.3756117E+01,  0.3736020E+01,  0.3719606E+01,  0.3702306E+01,  0.3687393E+01,  0.3675909E+01,  0.3668993E+01,  0.3736105E+01,  0.3714092E+01,  0.3691478E+01,  0.3676737E+01,  0.3668924E+01,  0.3664861E+01,  0.2756518E+01,  0.2688336E+01,  0.2640849E+01,  0.2607838E+01,
  0.5400000E+05,  0.1800000E+04,        15,         2,         1,  0.3890005E+01,  0.3745236E+01,  0.3729707E+01,  0.3717251E+01,  0.3703654E+01,  0.3689786E+01,  0.3678698E+01,  0.3671758E+01,  0.3729744E+01,  0.3711607E+01,  0.3692190E+01,  0.3678973E+01,  0.3671673E+01,  0.3667624E+01,  0.2784064E+01,  0.2716050E+01,  0.2667215E+01,  0.2632250E+01,
  0.5580000E+05,  0.1800000E+04,        16,         1,         1,  0.3844092E+01,  0.3741212E+01,  0.3730841E+01,  0.3724243E+01,  0.3717362E+01,  0.3700935E+01,  0.3688034E+01,  0.3680075E+01,  0.3730808E+01,  0.3714517E+01,  0.3697453E+01,  0.3686066E+01,  0.3679893E+01,  0.3675775E+01,  0.2805532E+01,  0.2736607E+01,  0.2686365E+01,  0.2649799E+01,
  0.5760000E+05,  0.1800000E+04,        16,         2,         1,  0.3809277E+01,  0.3745589E+01,  0.3739684E+01,  0.3737414E+01,  0.3735213E+01,  0.3716481E+01,  0.3701831E+01,  0.3692853E+01,  0.3739306E+01,  0.3723937E+01,  0.3708244E+01,  0.3698009E+01,  0.3692567E+01,  0.3688325E+01,  0.2826059E+01,  0.2755234E+01,  0.2703204E+01,  0.2665018E+01,
  0.5940000E+05,  0.1800000E+04,        17,         1,         1,  0.3834714E+01,  0.3804409E+01,  0.3802612E+01,  0.3802690E+01,  0.3803103E+01,  0.3774966E+01,  0.3754206E+01,  0.3742264E+01,  0.3800419E+01,  0.3778470E+01,  0.3758620E+01,  0.3747159E+01,  0.3741761E+01,  0.3736845E+01,  0.2871213E+01,  0.2791875E+01,  0.2734128E+01,  0.2692061E+01,
  0.6120000E+05,  0.1800000E+04,        17,         2,         1,  0.3909243E+01,  0.3899395E+01,  0.3899380E+01,  0.3902469E+01,  0.3907880E+01,  0.3868673E+01,  0.3840068E+01,  0.3823993E+01,  0.3895663E+01,  0.3867192E+01,  0.3842511E+01,  0.3829074E+01,  0.3823198E+01,  0.3817132E+01,  0.2950943E+01,  0.2857238E+01,  0.2789190E+01,  0.2739973E+01,
  0.6300000E+05,  0.1800000E+04,        18,         1,         1,  0.4007201E+01,  0.4003957E+01,  0.4004306E+01,  0.4010501E+01,  0.4020074E+01,  0.3972890E+01,  0.3937737E+01,  0.3917742E+01,  0.4000007E+01,  0.3967715E+01,  0.3939219E+01,  0.3923533E+01,  0.3916698E+01,  0.3909257E+01,  0.3058203E+01,  0.2947970E+01,  0.2866738E+01,  0.2807531E+01,
  0.6480000E+05,  0.1800000E+04,        18,         2,         1,  0.4114901E+01,  0.4114369E+01,  0.4115588E+01,  0.4125016E+01,  0.4138777E+01,  0.4084403E+01,  0.4042915E+01,  0.4018831E+01,  0.4110573E+01,  0.4075158E+01,  0.4043336E+01,  0.4025488E+01,  0.4017536E+01,  0.4008538E+01,  0.3186039E+01,  0.3058704E+01,  0.2962422E+01,  0.2890810E+01,
