TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.4500000E+05,  0.1800000E+04,        13,         1,         1,  0.3891916E+01,  0.3626417E+01,  0.3594019E+01,  0.3568524E+01,  0.3545585E+01,  0.3530943E+01,  0.3521651E+01,  0.3517159E+01,  0.3594244E+01,  0.3563140E+01,  0.3536808E+01,  0.3522980E+01,  0.3517134E+01,  0.3514683E+01,  0.2471004E+01,  0.2426778E+01,  0.2402124E+01,  0.2388221E+01,
  0.4680000E+05,  0.1800000E+04,        13,         2,         1,  0.3953628E+01,  0.3690795E+01,  0.3658774E+01,  0.3633122E+01,  0.3609080E+01,  0.3593017E+01,  0.3582337E+01,  0.3576856E+01,  0.3658988E+01,  0.3627417E+01,  0.3599335E+01,  0.3583796E+01,  0.3576822E+01,  0.3573743E+01,  0.2563021E+01,  0.2509094E+01,  0.2476850E+01,  0.2457404E+01,
  0.4860000E+05,  0.1800000E+04,        14,         1,         1,  0.3969251E+01,  0.3730072E+01,  0.3701607E+01,  0.3678413E+01,  0.3655646E+01,  0.3639577E+01,  0.3628262E+01,  0.3622074E+01,  0.3701785E+01,  0.3672853E+01,  0.3645672E+01,  0.3629691E+01,  0.3622030E+01,  0.3618460E+01,  0.2644392E+01,  0.2583071E+01,  0.2544083E+01,  0.2519166E+01,
  0.5040000E+05,  0.1800000E+04,        14,         2,         1,  0.3970392E+01,  0.3753577E+01,  0.3728395E+01,  0.3707684E+01,  0.3686629E+01,  0.3671012E+01,  0.3659484E+01,  0.3652849E+01,  0.3728543E+01,  0.3702371E+01,  0.3676739E+01,  0.3660838E+01,  0.3652797E+01,  0.3648888E+01,  0.2709811E+01,  0.2643740E+01,  0.2599530E+01,  0.2569909E+01,
  0.5220000E+05,  0.1800000E+04,        15,         1,         1,  0.3936145E+01,  0.3756117E+01,  0.3736019E+01,  0.3719606E+01,  0.3702305E+01,  0.3687392E+01,  0.3675908E+01,  0.3668992E+01,  0.3736104E+01,  0.3714092E+01,  0.3691477E+01,  0.3676736E+01,  0.3668923E+01,  0.3664860E+01,  0.2756514E+01,  0.2688333E+01,  0.2640846E+01,  0.2607836E+01,
  0.5400000E+05,  0.1800000E+04,        15,         2,         1,  0.3890006E+01,  0.3745235E+01,  0.3729706E+01,  0.3717251E+01,  0.3703653E+01,  0.3689785E+01,  0.3678697E+01,  0.3671758E+01,  0.3729743E+01,  0.3711607E+01,  0.3692189E+01,  0.3678972E+01,  0.3671672E+01,  0.3667624E+01,  0.2784059E+01,  0.2716046E+01,  0.2667211E+01,  0.2632247E+01,
  0.5580000E+05,  0.1800000E+04,        16,         1,         1,  0.3844091E+01,  0.3741210E+01,  0.3730839E+01,  0.3724241E+01,  0.3717360E+01,  0.3700933E+01,  0.3688032E+01,  0.3680073E+01,  0.3730806E+01,  0.3714515E+01,  0.3697451E+01,  0.3686064E+01,  0.3679891E+01,  0.3675773E+01,  0.2805526E+01,  0.2736602E+01,  0.2686360E+01,  0.2649795E+01,
  0.5760000E+05,  0.1800000E+04,        16,         2,         1,  0.3809275E+01,  0.3745587E+01,  0.3739682E+01,  0.3737412E+01,  0.3735211E+01,  0.3716480E+01,  0.3701830E+01,  0.3692851E+01,  0.3739304E+01,  0.3723936E+01,  0.3708243E+01,  0.3698008E+01,  0.3692565E+01,  0.3688324E+01,  0.2826055E+01,  0.2755229E+01,  0.2703200E+01,  0.2665014E+01,
  0.5940000E+05,  0.1800000E+04,        17,         1,         1,  0.3834712E+01,  0.3804407E+01,  0.3802610E+01,  0.3802688E+01,  0.3803101E+01,  0.3774964E+01,  0.3754203E+01,  0.3742261E+01,  0.3800416E+01,  0.3778467E+01,  0.3758618E+01,  0.3747157E+01,  0.3741758E+01,  0.3736843E+01,  0.2871210E+01,  0.2791873E+01,  0.2734125E+01,  0.2692059E+01,
  0.6120000E+05,  0.1800000E+04,        17,         2,         1,  0.3909241E+01,  0.3899393E+01,  0.3899378E+01,  0.3902467E+01,  0.3907879E+01,  0.3868671E+01,  0.3840066E+01,  0.3823992E+01,  0.3895662E+01,  0.3867190E+01,  0.3842509E+01,  0.3829072E+01,  0.3823196E+01,  0.3817130E+01,  0.2950941E+01,  0.2857236E+01,  0.2789188E+01,  0.2739971E+01,
  0.6300000E+05,  0.1800000E+04,        18,         1,         1,  0.4007198E+01,  0.4003954E+01,  0.4004303E+01,  0.4010498E+01,  0.4020071E+01,  0.3972887E+01,  0.3937733E+01,  0.3917738E+01,  0.4000004E+01,  0.3967712E+01,  0.3939216E+01,  0.3923530E+01,  0.3916694E+01,  0.3909253E+01,  0.3058196E+01,  0.2947965E+01,  0.2866735E+01,  0.2807528E+01,
  0.6480000E+05,  0.1800000E+04,        18,         2,         1,  0.4114898E+01,  0.4114366E+01,  0.4115585E+01,  0.4125013E+01,  0.4138774E+01,  0.4084400E+01,  0.4042911E+01,  0.4018827E+01,  0.4110570E+01,  0.4075155E+01,  0.4043332E+01,  0.4025485E+01,  0.4017532E+01,  0.4008534E+01,  0.3186033E+01,  0.3058700E+01,  0.2962418E+01,  0.2890807E+01,
  0.6660000E+05,  0.1800000E+04,        19,         1,         1,  0.4151516E+01,  0.4151068E+01,  0.4151850E+01,  0.4158035E+01,  0.4165596E+01,  0.4121514E+01,  0.4085271E+01,  0.4062613E+01,  0.4148059E+01,  0.4119393E+01,  0.4090249E+01,  0.4071395E+01,  0.4061595E+01,  0.4051911E+01,  0.3279228E+01,  0.3146497E+01,  0.3041968E+01,  0.2961204E+01,
  0.6840000E+05,  0.1800000E+04,        19,         2,         1,  0.4133124E+01,  0.4132798E+01,  0.4133280E+01,  0.4137118E+01,  0.4140975E+01,  0.4106230E+01,  0.4076017E+01,  0.4055937E+01,  0.4130563E+01,  0.4108776E+01,  0.4083925E+01,  0.4065770E+01,  0.4055175E+01,  0.4045655E+01,  0.3318747E+01,  0.3190040E+01,  0.3084842E+01,  0.3000459E+01,
  0.7020000E+05,  0.1800000E+04,        20,         1,         1,  0.4056863E+01,  0.4056275E+01,  0.4056364E+01,  0.4057642E+01,  0.4058309E+01,  0.4034921E+01,  0.4012792E+01,  0.3996848E+01,  0.4054858E+01,  0.4041094E+01,  0.4022512E+01,  0.4006769E+01,  0.3996365E+01,  0.3987880E+01,  0.3295570E+01,  0.3178867E+01,  0.3080522E+01,  0.2999043E+01,
  0.7200000E+05,  0.1800000E+04,        20,         2,         1,  0.3934273E+01,  0.3933391E+01,  0.3933367E+01,  0.3933414E+01,  0.3933261E+01,  0.3920168E+01,  0.3906045E+01,  0.3894682E+01,  0.3932807E+01,  0.3926518E+01,  0.3915204E+01,  0.3903413E+01,  0.3894416E+01,  0.3887608E+01,  0.3213138E+01,  0.3114483E+01,  0.3029104E+01,  0.2956431E+01,
  0.7380000E+05,  0.1800000E+04,        21,         1,         1,  0.3815916E+01,  0.3815023E+01,  0.3814939E+01,  0.3814925E+01,  0.3814350E+01,  0.3805851E+01,  0.3796093E+01,  0.3787789E+01,  0.3814683E+01,  0.3811109E+01,  0.3803483E+01,  0.3794747E+01,  0.3787618E+01,  0.3782371E+01,  0.3102258E+01,  0.3020982E+01,  0.2949715E+01,  0.2888174E+01,
  0.7560000E+05,  0.1800000E+04,        21,         2,         1,  0.3697898E+01,  0.3697011E+01,  0.3696854E+01,  0.3696610E+01,  0.3695160E+01,  0.3690580E+01,  0.3684570E+01,  0.3678989E+01,  0.3696814E+01,  0.3695283E+01,  0.3690631E+01,  0.3684392E+01,  0.3678900E+01,  0.3675092E+01,  0.2977476E+01,  0.2912784E+01,  0.2855619E+01,  0.2805849E+01,
