TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.2699997E+02,  0.6942749E-02,        27,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1225964E+01,  0.1225964E+01,  0.1225964E+01,  0.1225964E+01,  0.1225964E+01,  0.1225964E+01,  0.1225964E+01,  0.1225964E+01,  0.9869994E+00,  0.9869994E+00,  0.5011016E+00,  0.5010880E+00,  0.7021936E+00,
  0.2799996E+02,  0.6942749E-02,        28,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1238463E+01,  0.1238463E+01,  0.1238463E+01,  0.1238463E+01,  0.1238463E+01,  0.1238463E+01,  0.1238463E+01,  0.1238463E+01,  0.9844353E+00,  0.9844353E+00,  0.5006259E+00,  0.5006236E+00,  0.7012062E+00,
  0.2899996E+02,  0.6942749E-02,        29,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1231757E+01,  0.1231757E+01,  0.1231757E+01,  0.1231757E+01,  0.1231757E+01,  0.1231757E+01,  0.1231757E+01,  0.1231757E+01,  0.9802271E+00,  0.9802271E+00,  0.5001822E+00,  0.5001822E+00,  0.7001235E+00,
  0.2999996E+02,  0.6942749E-02,        30,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1225713E+01,  0.1225713E+01,  0.1225713E+01,  0.1225713E+01,  0.1225713E+01,  0.1225713E+01,  0.1225713E+01,  0.1225713E+01,  0.9760243E+00,  0.9760243E+00,  0.5001111E+00,  0.5001112E+00,  0.7000952E+00,
  0.3099995E+02,  0.6942749E-02,        31,         6,        24,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1252948E+01,  0.1252948E+01,  0.1252948E+01,  0.1252948E+01,  0.1252948E+01,  0.1252948E+01,  0.1252948E+01,  0.1252948E+01,  0.1028608E+01,  0.1028608E+01,  0.6510406E+00,  0.5334645E+00,  0.7076437E+00,
  0.3199995E+02,  0.6942749E-02,        32,         6,        24,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1236594E+01,  0.1236594E+01,  0.1236594E+01,  0.1236594E+01,  0.1236594E+01,  0.1236594E+01,  0.1236594E+01,  0.1236594E+01,  0.1071766E+01,  0.1071766E+01,  0.8487293E+00,  0.5687564E+00,  0.8487457E+00,
  0.3299999E+02,  0.6977081E-02,        33,         6,        24,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1234507E+01,  0.1234507E+01,  0.1234507E+01,  0.1234507E+01,  0.1234507E+01,  0.1234507E+01,  0.1234507E+01,  0.1234507E+01,  0.1011028E+01,  0.1011028E+01,  0.5364777E+00,  0.5141753E+00,  0.7028273E+00,
  0.3400000E+02,  0.6977081E-02,        34,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1214160E+01,  0.1214160E+01,  0.1214160E+01,  0.1214160E+01,  0.1214160E+01,  0.1214160E+01,  0.1214160E+01,  0.1214160E+01,  0.1006051E+01,  0.1006051E+01,  0.5122152E+00,  0.5077488E+00,  0.7008135E+00,
  0.3500000E+02,  0.6977081E-02,        35,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1228701E+01,  0.1228701E+01,  0.1228701E+01,  0.1228701E+01,  0.1228701E+01,  0.1228701E+01,  0.1228701E+01,  0.1228701E+01,  0.9986838E+00,  0.9986838E+00,  0.5010788E+00,  0.5010747E+00,  0.7006999E+00,
  0.3600001E+02,  0.6977081E-02,        36,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1233432E+01,  0.1233432E+01,  0.1233432E+01,  0.1233432E+01,  0.1233432E+01,  0.1233432E+01,  0.1233432E+01,  0.1233432E+01,  0.9946463E+00,  0.9946463E+00,  0.5009024E+00,  0.5008995E+00,  0.7006514E+00,
  0.3700002E+02,  0.6977081E-02,        37,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1200583E+01,  0.1200583E+01,  0.1200583E+01,  0.1200583E+01,  0.1200583E+01,  0.1200583E+01,  0.1200583E+01,  0.1200583E+01,  0.1006212E+01,  0.1006212E+01,  0.5114310E+00,  0.5073327E+00,  0.7016185E+00,
  0.3800003E+02,  0.6977081E-02,        38,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1208261E+01,  0.1208261E+01,  0.1208261E+01,  0.1208261E+01,  0.1208261E+01,  0.1208261E+01,  0.1208261E+01,  0.1208261E+01,  0.9986698E+00,  0.9986698E+00,  0.5008446E+00,  0.5008407E+00,  0.7010477E+00,
  0.3900003E+02,  0.6977081E-02,        39,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1203112E+01,  0.1203112E+01,  0.1203112E+01,  0.1203112E+01,  0.1203112E+01,  0.1203112E+01,  0.1203112E+01,  0.1203112E+01,  0.9945705E+00,  0.9945705E+00,  0.5005842E+00,  0.5005831E+00,  0.7005363E+00,
  0.4000004E+02,  0.6977081E-02,        40,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1196951E+01,  0.1196951E+01,  0.1196951E+01,  0.1196951E+01,  0.1196951E+01,  0.1196951E+01,  0.1196951E+01,  0.1196951E+01,  0.9904615E+00,  0.9904615E+00,  0.5004738E+00,  0.5004731E+00,  0.7004953E+00,
