TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.1670004E+03,  0.6958008E-02,       167,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1227120E+01,  0.1227120E+01,  0.1227120E+01,  0.1227120E+01,  0.1227120E+01,  0.1227120E+01,  0.1227120E+01,  0.1227120E+01,  0.9909794E+00,  0.9909794E+00,  0.5004788E+00,  0.5004784E+00,  0.7003175E+00,
  0.1680004E+03,  0.6958008E-02,       168,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1218990E+01,  0.1218990E+01,  0.1218990E+01,  0.1218990E+01,  0.1218990E+01,  0.1218990E+01,  0.1218990E+01,  0.1218990E+01,  0.9868486E+00,  0.9868486E+00,  0.5003536E+00,  0.5003534E+00,  0.7002704E+00,
  0.1690005E+03,  0.6958008E-02,       169,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1219601E+01,  0.1219601E+01,  0.1219601E+01,  0.1219601E+01,  0.1219601E+01,  0.1219601E+01,  0.1219601E+01,  0.1219601E+01,  0.9830910E+00,  0.9830910E+00,  0.5003913E+00,  0.5003908E+00,  0.7005708E+00,
  0.1700005E+03,  0.6958008E-02,       170,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1235920E+01,  0.1235920E+01,  0.1235920E+01,  0.1235920E+01,  0.1235920E+01,  0.1235920E+01,  0.1235920E+01,  0.1235920E+01,  0.9808513E+00,  0.9808513E+00,  0.5010343E+00,  0.5010217E+00,  0.7020495E+00,
  0.1710005E+03,  0.6958008E-02,       171,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1232030E+01,  0.1232030E+01,  0.1232030E+01,  0.1232030E+01,  0.1232030E+01,  0.1232030E+01,  0.1232030E+01,  0.1232030E+01,  0.9767046E+00,  0.9767046E+00,  0.5001925E+00,  0.5001925E+00,  0.7001639E+00,
  0.1720006E+03,  0.6958008E-02,       172,         6,        24,  0.1550000E+01,  0.1550000E+01,  0.1550000E+01,  0.1550000E+01,  0.1550000E+01,  0.1550000E+01,  0.1234389E+01,  0.1234389E+01,  0.1234389E+01,  0.1234389E+01,  0.1234389E+01,  0.1234389E+01,  0.1234389E+01,  0.1234389E+01,  0.1023923E+01,  0.1023923E+01,  0.6054112E+00,  0.5256201E+00,  0.7031223E+00,
  0.1730006E+03,  0.6958008E-02,       173,         6,        24,  0.1542000E+01,  0.1542000E+01,  0.1542000E+01,  0.1542000E+01,  0.1542000E+01,  0.1542000E+01,  0.1245147E+01,  0.1245147E+01,  0.1245147E+01,  0.1245147E+01,  0.1245147E+01,  0.1245147E+01,  0.1245147E+01,  0.1245147E+01,  0.1005168E+01,  0.1005168E+01,  0.5092841E+00,  0.5064939E+00,  0.7008041E+00,
  0.1740006E+03,  0.6958008E-02,       174,         6,        24,  0.1572000E+01,  0.1572000E+01,  0.1572000E+01,  0.1572000E+01,  0.1572000E+01,  0.1572000E+01,  0.1234776E+01,  0.1234776E+01,  0.1234776E+01,  0.1234776E+01,  0.1234776E+01,  0.1234776E+01,  0.1234776E+01,  0.1234776E+01,  0.1076952E+01,  0.1076952E+01,  0.8645373E+00,  0.5707729E+00,  0.8645373E+00,
  0.1750006E+03,  0.6958008E-02,       175,         6,        24,  0.1553000E+01,  0.1553000E+01,  0.1553000E+01,  0.1553000E+01,  0.1553000E+01,  0.1553000E+01,  0.1227691E+01,  0.1227691E+01,  0.1227691E+01,  0.1227691E+01,  0.1227691E+01,  0.1227691E+01,  0.1227691E+01,  0.1227691E+01,  0.1031303E+01,  0.1031303E+01,  0.6395514E+00,  0.5311403E+00,  0.7003101E+00,
  0.1760007E+03,  0.6958008E-02,       176,         6,        24,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1219856E+01,  0.1219856E+01,  0.1219856E+01,  0.1219856E+01,  0.1219856E+01,  0.1219856E+01,  0.1219856E+01,  0.1219856E+01,  0.1015353E+01,  0.1015353E+01,  0.5502826E+00,  0.5164839E+00,  0.7001135E+00,
  0.1770007E+03,  0.6958008E-02,       177,         6,        24,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1211796E+01,  0.1211796E+01,  0.1211796E+01,  0.1211796E+01,  0.1211796E+01,  0.1211796E+01,  0.1211796E+01,  0.1211796E+01,  0.1009116E+01,  0.1009116E+01,  0.5232581E+00,  0.5109305E+00,  0.7000816E+00,
  0.1780007E+03,  0.6958008E-02,       178,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1232243E+01,  0.1232243E+01,  0.1232243E+01,  0.1232243E+01,  0.1232243E+01,  0.1232243E+01,  0.1232243E+01,  0.1232243E+01,  0.9987564E+00,  0.9987564E+00,  0.5003554E+00,  0.5003552E+00,  0.7000071E+00,
  0.1790008E+03,  0.6958008E-02,       179,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1231809E+01,  0.1231809E+01,  0.1231809E+01,  0.1231809E+01,  0.1231809E+01,  0.1231809E+01,  0.1231809E+01,  0.1231809E+01,  0.9945770E+00,  0.9945770E+00,  0.5002132E+00,  0.5002131E+00,  0.6996240E+00,
  0.1800008E+03,  0.6958008E-02,       180,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1230064E+01,  0.1230064E+01,  0.1230064E+01,  0.1230064E+01,  0.1230064E+01,  0.1230064E+01,  0.1230064E+01,  0.1230064E+01,  0.9903926E+00,  0.9903926E+00,  0.5000989E+00,  0.5000989E+00,  0.6987234E+00,
  0.1810008E+03,  0.6958008E-02,       181,         6,        24,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1248771E+01,  0.1248771E+01,  0.1248771E+01,  0.1248771E+01,  0.1248771E+01,  0.1248771E+01,  0.1248771E+01,  0.1248771E+01,  0.1044764E+01,  0.1044764E+01,  0.7280824E+00,  0.5461667E+00,  0.7301917E+00,
  0.1820009E+03,  0.6958008E-02,       182,         6,        24,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1248960E+01,  0.1248960E+01,  0.1248960E+01,  0.1248960E+01,  0.1248960E+01,  0.1248960E+01,  0.1248960E+01,  0.1248960E+01,  0.1005943E+01,  0.1005943E+01,  0.5111673E+00,  0.5073140E+00,  0.7038527E+00,
  0.1830009E+03,  0.6958008E-02,       183,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1243598E+01,  0.1243598E+01,  0.1243598E+01,  0.1243598E+01,  0.1243598E+01,  0.1243598E+01,  0.1243598E+01,  0.1243598E+01,  0.1000568E+01,  0.1000568E+01,  0.5016573E+00,  0.5016331E+00,  0.7014894E+00,
  0.1840009E+03,  0.6958008E-02,       184,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1199291E+01,  0.1199291E+01,  0.1199291E+01,  0.1199291E+01,  0.1199291E+01,  0.1199291E+01,  0.1199291E+01,  0.1199291E+01,  0.1007186E+01,  0.1007186E+01,  0.5164070E+00,  0.5091146E+00,  0.7026834E+00,
  0.1850010E+03,  0.6958008E-02,       185,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1209304E+01,  0.1209304E+01,  0.1209304E+01,  0.1209304E+01,  0.1209304E+01,  0.1209304E+01,  0.1209304E+01,  0.1209304E+01,  0.9986040E+00,  0.9986040E+00,  0.5008206E+00,  0.5008193E+00,  0.7003860E+00,
  0.1860010E+03,  0.6958008E-02,       186,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1197260E+01,  0.1197260E+01,  0.1197260E+01,  0.1197260E+01,  0.1197260E+01,  0.1197260E+01,  0.1197260E+01,  0.1197260E+01,  0.1014742E+01,  0.1014742E+01,  0.5156498E+00,  0.5077047E+00,  0.7003525E+00,
  0.1870010E+03,  0.6958008E-02,       187,         6,        24,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1544000E+01,  0.1241868E+01,  0.1241868E+01,  0.1241868E+01,  0.1241868E+01,  0.1241868E+01,  0.1241868E+01,  0.1241868E+01,  0.1241868E+01,  0.1010943E+01,  0.1010943E+01,  0.5355635E+00,  0.5137737E+00,  0.7010526E+00,
  0.1880010E+03,  0.6958008E-02,       188,         6,        24,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1239126E+01,  0.1239126E+01,  0.1239126E+01,  0.1239126E+01,  0.1239126E+01,  0.1239126E+01,  0.1239126E+01,  0.1239126E+01,  0.1002879E+01,  0.1002879E+01,  0.5038600E+00,  0.5034343E+00,  0.7005804E+00,
  0.1890011E+03,  0.6958008E-02,       189,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1204535E+01,  0.1204535E+01,  0.1204535E+01,  0.1204535E+01,  0.1204535E+01,  0.1204535E+01,  0.1204535E+01,  0.1204535E+01,  0.1003857E+01,  0.1003857E+01,  0.5056001E+00,  0.5045804E+00,  0.7002138E+00,
  0.1900011E+03,  0.6958008E-02,       190,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1209239E+01,  0.1209239E+01,  0.1209239E+01,  0.1209239E+01,  0.1209239E+01,  0.1209239E+01,  0.1209239E+01,  0.1209239E+01,  0.9979805E+00,  0.9979805E+00,  0.5002589E+00,  0.5002588E+00,  0.7001882E+00,
  0.1910011E+03,  0.6958008E-02,       191,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1210548E+01,  0.1210548E+01,  0.1210548E+01,  0.1210548E+01,  0.1210548E+01,  0.1210548E+01,  0.1210548E+01,  0.1210548E+01,  0.9938186E+00,  0.9938186E+00,  0.5001691E+00,  0.5001690E+00,  0.7001435E+00,
  0.1920012E+03,  0.6958008E-02,       192,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1202026E+01,  0.1202026E+01,  0.1202026E+01,  0.1202026E+01,  0.1202026E+01,  0.1202026E+01,  0.1202026E+01,  0.1202026E+01,  0.9896500E+00,  0.9896500E+00,  0.5000357E+00,  0.5000357E+00,  0.7000866E+00,
  0.1930012E+03,  0.6958008E-02,       193,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1193771E+01,  0.1193771E+01,  0.1193771E+01,  0.1193771E+01,  0.1193771E+01,  0.1193771E+01,  0.1193771E+01,  0.1193771E+01,  0.9854760E+00,  0.9854760E+00,  0.4997495E+00,  0.4997494E+00,  0.7000120E+00,
  0.1940012E+03,  0.6958008E-02,       194,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1236367E+01,  0.1236367E+01,  0.1236367E+01,  0.1236367E+01,  0.1236367E+01,  0.1236367E+01,  0.1236367E+01,  0.1236367E+01,  0.9895638E+00,  0.9895638E+00,  0.5040109E+00,  0.5036096E+00,  0.7067916E+00,
  0.1950013E+03,  0.6958008E-02,       195,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1232830E+01,  0.1232830E+01,  0.1232830E+01,  0.1232830E+01,  0.1232830E+01,  0.1232830E+01,  0.1232830E+01,  0.1232830E+01,  0.9854439E+00,  0.9854439E+00,  0.5007983E+00,  0.5007976E+00,  0.7003758E+00,
